ID	Gene Name	Species	KEGG_PATHWAY
pdxY	Pyridoxamine kinase	Escherichia coli	ecc00750:Vitamin B6 metabolism,ecd00750:Vitamin B6 metabolism,ece00750:Vitamin B6 metabolism,ecf00750:Vitamin B6 metabolism,ecg00750:Vitamin B6 metabolism,eci00750:Vitamin B6 metabolism,ecj00750:Vitamin B6 metabolism,eck00750:Vitamin B6 metabolism,ecm00750:Vitamin B6 metabolism,eco00750:Vitamin B6 metabolism,ecq00750:Vitamin B6 metabolism,ecr00750:Vitamin B6 metabolism,ect00750:Vitamin B6 metabolism,ecv00750:Vitamin B6 metabolism,ecw00750:Vitamin B6 metabolism,ecx00750:Vitamin B6 metabolism,ecz00750:Vitamin B6 metabolism,eum00750:Vitamin B6 metabolism,
pdxJ	Pyridoxine 5'-phosphate synthase	Escherichia coli	ecc00750:Vitamin B6 metabolism,ecd00750:Vitamin B6 metabolism,ece00750:Vitamin B6 metabolism,ecf00750:Vitamin B6 metabolism,ecg00750:Vitamin B6 metabolism,eci00750:Vitamin B6 metabolism,ecj00750:Vitamin B6 metabolism,eck00750:Vitamin B6 metabolism,ecm00750:Vitamin B6 metabolism,eco00750:Vitamin B6 metabolism,ecq00750:Vitamin B6 metabolism,ecr00750:Vitamin B6 metabolism,ect00750:Vitamin B6 metabolism,ecv00750:Vitamin B6 metabolism,ecw00750:Vitamin B6 metabolism,ecx00750:Vitamin B6 metabolism,ecz00750:Vitamin B6 metabolism,eum00750:Vitamin B6 metabolism,
pdxK	Pyridoxine kinase	Escherichia coli	ecc00750:Vitamin B6 metabolism,ecd00750:Vitamin B6 metabolism,ece00750:Vitamin B6 metabolism,ecf00750:Vitamin B6 metabolism,ecg00750:Vitamin B6 metabolism,eci00750:Vitamin B6 metabolism,ecj00750:Vitamin B6 metabolism,eck00750:Vitamin B6 metabolism,ecl00750:Vitamin B6 metabolism,ecm00750:Vitamin B6 metabolism,eco00750:Vitamin B6 metabolism,ecp00750:Vitamin B6 metabolism,ecq00750:Vitamin B6 metabolism,ecr00750:Vitamin B6 metabolism,ecs00750:Vitamin B6 metabolism,ect00750:Vitamin B6 metabolism,ecv00750:Vitamin B6 metabolism,ecw00750:Vitamin B6 metabolism,ecx00750:Vitamin B6 metabolism,ecy00750:Vitamin B6 metabolism,ecz00750:Vitamin B6 metabolism,eum00750:Vitamin B6 metabolism,
pdxH	Pyridoxine/pyridoxamine 5'-phosphate oxidase	Escherichia coli	ecc00750:Vitamin B6 metabolism,ecd00750:Vitamin B6 metabolism,ece00750:Vitamin B6 metabolism,ecf00750:Vitamin B6 metabolism,ecg00750:Vitamin B6 metabolism,eci00750:Vitamin B6 metabolism,ecj00750:Vitamin B6 metabolism,eck00750:Vitamin B6 metabolism,ecm00750:Vitamin B6 metabolism,eco00750:Vitamin B6 metabolism,ecq00750:Vitamin B6 metabolism,ecr00750:Vitamin B6 metabolism,ect00750:Vitamin B6 metabolism,ecv00750:Vitamin B6 metabolism,ecw00750:Vitamin B6 metabolism,ecx00750:Vitamin B6 metabolism,ecz00750:Vitamin B6 metabolism,eum00750:Vitamin B6 metabolism,
rihB	Pyrimidine-specific ribonucleoside hydrolase rihB	Escherichia coli	ecc00230:Purine metabolism,ecc00240:Pyrimidine metabolism,ecd00230:Purine metabolism,ecd00240:Pyrimidine metabolism,ece00230:Purine metabolism,ece00240:Pyrimidine metabolism,ecf00230:Purine metabolism,ecf00240:Pyrimidine metabolism,ecg00230:Purine metabolism,ecg00240:Pyrimidine metabolism,eci00230:Purine metabolism,eci00240:Pyrimidine metabolism,ecj00230:Purine metabolism,ecj00240:Pyrimidine metabolism,eck00230:Purine metabolism,eck00240:Pyrimidine metabolism,ecl00230:Purine metabolism,ecl00240:Pyrimidine metabolism,ecm00230:Purine metabolism,ecm00240:Pyrimidine metabolism,eco00230:Purine metabolism,eco00240:Pyrimidine metabolism,ecp00230:Purine metabolism,ecp00240:Pyrimidine metabolism,ecq00230:Purine metabolism,ecq00240:Pyrimidine metabolism,ecr00230:Purine metabolism,ecr00240:Pyrimidine metabolism,ecs00230:Purine metabolism,ecs00240:Pyrimidine metabolism,ect00230:Purine metabolism,ect00240:Pyrimidine metabolism,ecv00230:Purine metabolism,ecv00240:Pyrimidine metabolism,ecw00230:Purine metabolism,ecw00240:Pyrimidine metabolism,ecx00230:Purine metabolism,ecx00240:Pyrimidine metabolism,ecy00230:Purine metabolism,ecy00240:Pyrimidine metabolism,ecz00230:Purine metabolism,ecz00240:Pyrimidine metabolism,eum00230:Purine metabolism,eum00240:Pyrimidine metabolism,
proC	Pyrroline-5-carboxylate reductase	Escherichia coli	ecc00330:Arginine and proline metabolism,ecd00330:Arginine and proline metabolism,ece00330:Arginine and proline metabolism,ecf00330:Arginine and proline metabolism,ecg00330:Arginine and proline metabolism,eci00330:Arginine and proline metabolism,ecj00330:Arginine and proline metabolism,eck00330:Arginine and proline metabolism,ecm00330:Arginine and proline metabolism,eco00330:Arginine and proline metabolism,ecq00330:Arginine and proline metabolism,ecr00330:Arginine and proline metabolism,ecs00330:Arginine and proline metabolism,ect00330:Arginine and proline metabolism,ecv00330:Arginine and proline metabolism,ecw00330:Arginine and proline metabolism,ecx00330:Arginine and proline metabolism,ecz00330:Arginine and proline metabolism,eum00330:Arginine and proline metabolism,
aceE	Pyruvate dehydrogenase E1 component	Escherichia coli	ecc00010:Glycolysis / Gluconeogenesis,ecc00020:Citrate cycle (TCA cycle),ecc00290:Valine, leucine and isoleucine biosynthesis,ecc00620:Pyruvate metabolism,ecc00650:Butanoate metabolism,ecd00010:Glycolysis / Gluconeogenesis,ecd00020:Citrate cycle (TCA cycle),ecd00290:Valine, leucine and isoleucine biosynthesis,ecd00620:Pyruvate metabolism,ecd00650:Butanoate metabolism,ece00010:Glycolysis / Gluconeogenesis,ece00020:Citrate cycle (TCA cycle),ece00290:Valine, leucine and isoleucine biosynthesis,ece00620:Pyruvate metabolism,ece00650:Butanoate metabolism,ecf00010:Glycolysis / Gluconeogenesis,ecf00020:Citrate cycle (TCA cycle),ecf00290:Valine, leucine and isoleucine biosynthesis,ecf00620:Pyruvate metabolism,ecf00650:Butanoate metabolism,ecg00010:Glycolysis / Gluconeogenesis,ecg00020:Citrate cycle (TCA cycle),ecg00290:Valine, leucine and isoleucine biosynthesis,ecg00620:Pyruvate metabolism,ecg00650:Butanoate metabolism,eci00010:Glycolysis / Gluconeogenesis,eci00020:Citrate cycle (TCA cycle),eci00290:Valine, leucine and isoleucine biosynthesis,eci00620:Pyruvate metabolism,eci00650:Butanoate metabolism,ecj00010:Glycolysis / Gluconeogenesis,ecj00020:Citrate cycle (TCA cycle),ecj00290:Valine, leucine and isoleucine biosynthesis,ecj00620:Pyruvate metabolism,ecj00650:Butanoate metabolism,eck00010:Glycolysis / Gluconeogenesis,eck00020:Citrate cycle (TCA cycle),eck00290:Valine, leucine and isoleucine biosynthesis,eck00620:Pyruvate metabolism,eck00650:Butanoate metabolism,ecl00010:Glycolysis / Gluconeogenesis,ecl00020:Citrate cycle (TCA cycle),ecl00290:Valine, leucine and isoleucine biosynthesis,ecl00620:Pyruvate metabolism,ecl00650:Butanoate metabolism,ecm00010:Glycolysis / Gluconeogenesis,ecm00020:Citrate cycle (TCA cycle),ecm00290:Valine, leucine and isoleucine biosynthesis,ecm00620:Pyruvate metabolism,ecm00650:Butanoate metabolism,eco00010:Glycolysis / Gluconeogenesis,eco00020:Citrate cycle (TCA cycle),eco00290:Valine, leucine and isoleucine biosynthesis,eco00620:Pyruvate metabolism,eco00650:Butanoate metabolism,ecp00010:Glycolysis / Gluconeogenesis,ecp00020:Citrate cycle (TCA cycle),ecp00290:Valine, leucine and isoleucine biosynthesis,ecp00620:Pyruvate metabolism,ecp00650:Butanoate metabolism,ecq00010:Glycolysis / Gluconeogenesis,ecq00020:Citrate cycle (TCA cycle),ecq00290:Valine, leucine and isoleucine biosynthesis,ecq00620:Pyruvate metabolism,ecq00650:Butanoate metabolism,ecr00010:Glycolysis / Gluconeogenesis,ecr00020:Citrate cycle (TCA cycle),ecr00290:Valine, leucine and isoleucine biosynthesis,ecr00620:Pyruvate metabolism,ecr00650:Butanoate metabolism,ecs00010:Glycolysis / Gluconeogenesis,ecs00020:Citrate cycle (TCA cycle),ecs00290:Valine, leucine and isoleucine biosynthesis,ecs00620:Pyruvate metabolism,ecs00650:Butanoate metabolism,ect00010:Glycolysis / Gluconeogenesis,ect00020:Citrate cycle (TCA cycle),ect00290:Valine, leucine and isoleucine biosynthesis,ect00620:Pyruvate metabolism,ect00650:Butanoate metabolism,ecv00010:Glycolysis / Gluconeogenesis,ecv00020:Citrate cycle (TCA cycle),ecv00290:Valine, leucine and isoleucine biosynthesis,ecv00620:Pyruvate metabolism,ecv00650:Butanoate metabolism,ecw00010:Glycolysis / Gluconeogenesis,ecw00020:Citrate cycle (TCA cycle),ecw00290:Valine, leucine and isoleucine biosynthesis,ecw00620:Pyruvate metabolism,ecw00650:Butanoate metabolism,ecx00010:Glycolysis / Gluconeogenesis,ecx00020:Citrate cycle (TCA cycle),ecx00290:Valine, leucine and isoleucine biosynthesis,ecx00620:Pyruvate metabolism,ecx00650:Butanoate metabolism,ecy00010:Glycolysis / Gluconeogenesis,ecy00020:Citrate cycle (TCA cycle),ecy00290:Valine, leucine and isoleucine biosynthesis,ecy00620:Pyruvate metabolism,ecy00650:Butanoate metabolism,ecz00010:Glycolysis / Gluconeogenesis,ecz00020:Citrate cycle (TCA cycle),ecz00290:Valine, leucine and isoleucine biosynthesis,ecz00620:Pyruvate metabolism,ecz00650:Butanoate metabolism,eum00010:Glycolysis / Gluconeogenesis,eum00020:Citrate cycle (TCA cycle),eum00290:Valine, leucine and isoleucine biosynthesis,eum00620:Pyruvate metabolism,eum00650:Butanoate metabolism,
poxB	Pyruvate dehydrogenase [cytochrome]	Escherichia coli	ecc00620:Pyruvate metabolism,ecd00620:Pyruvate metabolism,ece00620:Pyruvate metabolism,ecf00620:Pyruvate metabolism,ecg00620:Pyruvate metabolism,eci00620:Pyruvate metabolism,ecj00620:Pyruvate metabolism,eck00620:Pyruvate metabolism,ecm00620:Pyruvate metabolism,eco00620:Pyruvate metabolism,ecq00620:Pyruvate metabolism,ecr00620:Pyruvate metabolism,ect00620:Pyruvate metabolism,ecv00620:Pyruvate metabolism,ecw00620:Pyruvate metabolism,ecx00620:Pyruvate metabolism,ecz00620:Pyruvate metabolism,eum00620:Pyruvate metabolism,
pykF	Pyruvate kinase I; Pyruvate kinase	Escherichia coli	ecc00010:Glycolysis / Gluconeogenesis,ecc00230:Purine metabolism,ecc00620:Pyruvate metabolism,ecd00010:Glycolysis / Gluconeogenesis,ecd00230:Purine metabolism,ecd00620:Pyruvate metabolism,ece00010:Glycolysis / Gluconeogenesis,ece00230:Purine metabolism,ece00620:Pyruvate metabolism,ecf00010:Glycolysis / Gluconeogenesis,ecf00230:Purine metabolism,ecf00620:Pyruvate metabolism,ecg00010:Glycolysis / Gluconeogenesis,ecg00230:Purine metabolism,ecg00620:Pyruvate metabolism,eci00010:Glycolysis / Gluconeogenesis,eci00230:Purine metabolism,eci00620:Pyruvate metabolism,ecj00010:Glycolysis / Gluconeogenesis,ecj00230:Purine metabolism,ecj00620:Pyruvate metabolism,eck00010:Glycolysis / Gluconeogenesis,eck00230:Purine metabolism,eck00620:Pyruvate metabolism,ecm00010:Glycolysis / Gluconeogenesis,ecm00230:Purine metabolism,ecm00620:Pyruvate metabolism,eco00010:Glycolysis / Gluconeogenesis,eco00230:Purine metabolism,eco00620:Pyruvate metabolism,ecq00010:Glycolysis / Gluconeogenesis,ecq00230:Purine metabolism,ecq00620:Pyruvate metabolism,ecr00010:Glycolysis / Gluconeogenesis,ecr00230:Purine metabolism,ecr00620:Pyruvate metabolism,ect00010:Glycolysis / Gluconeogenesis,ect00230:Purine metabolism,ect00620:Pyruvate metabolism,ecv00010:Glycolysis / Gluconeogenesis,ecv00230:Purine metabolism,ecv00620:Pyruvate metabolism,ecw00010:Glycolysis / Gluconeogenesis,ecw00230:Purine metabolism,ecw00620:Pyruvate metabolism,ecx00010:Glycolysis / Gluconeogenesis,ecx00230:Purine metabolism,ecx00620:Pyruvate metabolism,ecz00010:Glycolysis / Gluconeogenesis,ecz00230:Purine metabolism,ecz00620:Pyruvate metabolism,eum00010:Glycolysis / Gluconeogenesis,eum00230:Purine metabolism,eum00620:Pyruvate metabolism,
pykA	Pyruvate kinase II; Pyruvate kinase	Escherichia coli	ecc00010:Glycolysis / Gluconeogenesis,ecc00230:Purine metabolism,ecc00620:Pyruvate metabolism,ecd00010:Glycolysis / Gluconeogenesis,ecd00230:Purine metabolism,ecd00620:Pyruvate metabolism,ece00010:Glycolysis / Gluconeogenesis,ece00230:Purine metabolism,ece00620:Pyruvate metabolism,ecf00010:Glycolysis / Gluconeogenesis,ecf00230:Purine metabolism,ecf00620:Pyruvate metabolism,ecg00010:Glycolysis / Gluconeogenesis,ecg00230:Purine metabolism,ecg00620:Pyruvate metabolism,eci00010:Glycolysis / Gluconeogenesis,eci00230:Purine metabolism,eci00620:Pyruvate metabolism,ecj00010:Glycolysis / Gluconeogenesis,ecj00230:Purine metabolism,ecj00620:Pyruvate metabolism,eck00010:Glycolysis / Gluconeogenesis,eck00230:Purine metabolism,eck00620:Pyruvate metabolism,ecm00010:Glycolysis / Gluconeogenesis,ecm00230:Purine metabolism,ecm00620:Pyruvate metabolism,eco00010:Glycolysis / Gluconeogenesis,eco00230:Purine metabolism,eco00620:Pyruvate metabolism,ecq00010:Glycolysis / Gluconeogenesis,ecq00230:Purine metabolism,ecq00620:Pyruvate metabolism,ecr00010:Glycolysis / Gluconeogenesis,ecr00230:Purine metabolism,ecr00620:Pyruvate metabolism,ect00010:Glycolysis / Gluconeogenesis,ect00230:Purine metabolism,ect00620:Pyruvate metabolism,ecv00010:Glycolysis / Gluconeogenesis,ecv00230:Purine metabolism,ecv00620:Pyruvate metabolism,ecw00010:Glycolysis / Gluconeogenesis,ecw00230:Purine metabolism,ecw00620:Pyruvate metabolism,ecx00010:Glycolysis / Gluconeogenesis,ecx00230:Purine metabolism,ecx00620:Pyruvate metabolism,ecz00010:Glycolysis / Gluconeogenesis,ecz00230:Purine metabolism,ecz00620:Pyruvate metabolism,eum00010:Glycolysis / Gluconeogenesis,eum00230:Purine metabolism,eum00620:Pyruvate metabolism,
ydiB	Quinate/shikimate dehydrogenase	Escherichia coli	ecd00400:Phenylalanine, tyrosine and tryptophan biosynthesis,ecg00400:Phenylalanine, tyrosine and tryptophan biosynthesis,eci00400:Phenylalanine, tyrosine and tryptophan biosynthesis,ecj00400:Phenylalanine, tyrosine and tryptophan biosynthesis,eck00400:Phenylalanine, tyrosine and tryptophan biosynthesis,eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis,ecq00400:Phenylalanine, tyrosine and tryptophan biosynthesis,ecr00400:Phenylalanine, tyrosine and tryptophan biosynthesis,ect00400:Phenylalanine, tyrosine and tryptophan biosynthesis,ecv00400:Phenylalanine, tyrosine and tryptophan biosynthesis,ecz00400:Phenylalanine, tyrosine and tryptophan biosynthesis,eum00400:Phenylalanine, tyrosine and tryptophan biosynthesis,
nadA	Quinolinate synthetase A	Escherichia coli	ecc00760:Nicotinate and nicotinamide metabolism,ecd00760:Nicotinate and nicotinamide metabolism,ece00760:Nicotinate and nicotinamide metabolism,ecf00760:Nicotinate and nicotinamide metabolism,ecg00760:Nicotinate and nicotinamide metabolism,eci00760:Nicotinate and nicotinamide metabolism,ecj00760:Nicotinate and nicotinamide metabolism,eck00760:Nicotinate and nicotinamide metabolism,ecm00760:Nicotinate and nicotinamide metabolism,eco00760:Nicotinate and nicotinamide metabolism,ecq00760:Nicotinate and nicotinamide metabolism,ecr00760:Nicotinate and nicotinamide metabolism,ect00760:Nicotinate and nicotinamide metabolism,ecv00760:Nicotinate and nicotinamide metabolism,ecw00760:Nicotinate and nicotinamide metabolism,ecx00760:Nicotinate and nicotinamide metabolism,ecz00760:Nicotinate and nicotinamide metabolism,eum00760:Nicotinate and nicotinamide metabolism,
gcd	Quinoprotein glucose dehydrogenase	Escherichia coli	ecc00030:Pentose phosphate pathway,ecd00030:Pentose phosphate pathway,ece00030:Pentose phosphate pathway,ecf00030:Pentose phosphate pathway,ecg00030:Pentose phosphate pathway,eci00030:Pentose phosphate pathway,ecj00030:Pentose phosphate pathway,eck00030:Pentose phosphate pathway,ecm00030:Pentose phosphate pathway,eco00030:Pentose phosphate pathway,ecq00030:Pentose phosphate pathway,ecr00030:Pentose phosphate pathway,ect00030:Pentose phosphate pathway,ecv00030:Pentose phosphate pathway,ecw00030:Pentose phosphate pathway,ecx00030:Pentose phosphate pathway,ecz00030:Pentose phosphate pathway,eum00030:Pentose phosphate pathway,
ygdP	RNA pyrophosphohydrolase	Escherichia coli	ecc03018:RNA degradation,ece03018:RNA degradation,ecv03018:RNA degradation,
recR	Recombination protein recR	Escherichia coli	ecc03440:Homologous recombination,ecd03440:Homologous recombination,ece03440:Homologous recombination,ecf03440:Homologous recombination,ecg03440:Homologous recombination,eci03440:Homologous recombination,ecj03440:Homologous recombination,eck03440:Homologous recombination,ecl03440:Homologous recombination,ecm03440:Homologous recombination,eco03440:Homologous recombination,ecp03440:Homologous recombination,ecq03440:Homologous recombination,ecr03440:Homologous recombination,ecs03440:Homologous recombination,ect03440:Homologous recombination,ecv03440:Homologous recombination,ecw03440:Homologous recombination,ecx03440:Homologous recombination,ecy03440:Homologous recombination,ecz03440:Homologous recombination,eum03440:Homologous recombination,
narG	Respiratory nitrate reductase 1 alpha chain	Escherichia coli	ecc00910:Nitrogen metabolism,ecc02020:Two-component system,ecd00910:Nitrogen metabolism,ecd02020:Two-component system,ece00910:Nitrogen metabolism,ece02020:Two-component system,ecf00910:Nitrogen metabolism,ecf02020:Two-component system,ecg00910:Nitrogen metabolism,ecg02020:Two-component system,eci00910:Nitrogen metabolism,eci02020:Two-component system,ecj00910:Nitrogen metabolism,ecj02020:Two-component system,eck00910:Nitrogen metabolism,eck02020:Two-component system,ecm00910:Nitrogen metabolism,ecm02020:Two-component system,eco00910:Nitrogen metabolism,eco02020:Two-component system,ecq00910:Nitrogen metabolism,ecq02020:Two-component system,ecr00910:Nitrogen metabolism,ecr02020:Two-component system,ect00910:Nitrogen metabolism,ect02020:Two-component system,ecv00910:Nitrogen metabolism,ecv02020:Two-component system,ecw00910:Nitrogen metabolism,ecw02020:Two-component system,ecx00910:Nitrogen metabolism,ecx02020:Two-component system,ecz00910:Nitrogen metabolism,ecz02020:Two-component system,eum00910:Nitrogen metabolism,eum02020:Two-component system,
narH	Respiratory nitrate reductase 1 beta chain	Escherichia coli	ecc00910:Nitrogen metabolism,ecc02020:Two-component system,ecd00910:Nitrogen metabolism,ecd02020:Two-component system,ece00910:Nitrogen metabolism,ece02020:Two-component system,ecf00910:Nitrogen metabolism,ecf02020:Two-component system,ecg00910:Nitrogen metabolism,ecg02020:Two-component system,eci00910:Nitrogen metabolism,eci02020:Two-component system,ecj00910:Nitrogen metabolism,ecj02020:Two-component system,eck00910:Nitrogen metabolism,eck02020:Two-component system,ecm00910:Nitrogen metabolism,ecm02020:Two-component system,eco00910:Nitrogen metabolism,eco02020:Two-component system,ecq00910:Nitrogen metabolism,ecq02020:Two-component system,ecr00910:Nitrogen metabolism,ecr02020:Two-component system,ect00910:Nitrogen metabolism,ect02020:Two-component system,ecv00910:Nitrogen metabolism,ecv02020:Two-component system,ecw00910:Nitrogen metabolism,ecw02020:Two-component system,ecx00910:Nitrogen metabolism,ecx02020:Two-component system,ecz00910:Nitrogen metabolism,ecz02020:Two-component system,eum00910:Nitrogen metabolism,eum02020:Two-component system,
narJ	Respiratory nitrate reductase 1 delta chain	Escherichia coli	ecc00910:Nitrogen metabolism,ecc02020:Two-component system,ecd00910:Nitrogen metabolism,ecd02020:Two-component system,ece00910:Nitrogen metabolism,ece02020:Two-component system,ecf00910:Nitrogen metabolism,ecf02020:Two-component system,ecg00910:Nitrogen metabolism,ecg02020:Two-component system,eci00910:Nitrogen metabolism,eci02020:Two-component system,ecj00910:Nitrogen metabolism,ecj02020:Two-component system,eck00910:Nitrogen metabolism,eck02020:Two-component system,ecm00910:Nitrogen metabolism,ecm02020:Two-component system,eco00910:Nitrogen metabolism,eco02020:Two-component system,ecq00910:Nitrogen metabolism,ecq02020:Two-component system,ecr00910:Nitrogen metabolism,ecr02020:Two-component system,ect00910:Nitrogen metabolism,ect02020:Two-component system,ecv00910:Nitrogen metabolism,ecv02020:Two-component system,ecw00910:Nitrogen metabolism,ecw02020:Two-component system,ecx00910:Nitrogen metabolism,ecx02020:Two-component system,ecz00910:Nitrogen metabolism,ecz02020:Two-component system,eum00910:Nitrogen metabolism,eum02020:Two-component system,
narI	Respiratory nitrate reductase 1 gamma chain	Escherichia coli	ecc00910:Nitrogen metabolism,ecc02020:Two-component system,ecd00910:Nitrogen metabolism,ecd02020:Two-component system,ece00910:Nitrogen metabolism,ece02020:Two-component system,ecf00910:Nitrogen metabolism,ecf02020:Two-component system,ecg00910:Nitrogen metabolism,ecg02020:Two-component system,eci00910:Nitrogen metabolism,eci02020:Two-component system,ecj00910:Nitrogen metabolism,ecj02020:Two-component system,eck00910:Nitrogen metabolism,eck02020:Two-component system,ecm00910:Nitrogen metabolism,ecm02020:Two-component system,eco00910:Nitrogen metabolism,eco02020:Two-component system,ecq00910:Nitrogen metabolism,ecq02020:Two-component system,ecr00910:Nitrogen metabolism,ecr02020:Two-component system,ect00910:Nitrogen metabolism,ect02020:Two-component system,ecv00910:Nitrogen metabolism,ecv02020:Two-component system,ecz00910:Nitrogen metabolism,ecz02020:Two-component system,eum00910:Nitrogen metabolism,eum02020:Two-component system,
narZ	Respiratory nitrate reductase 2 alpha chain	Escherichia coli	ecc00910:Nitrogen metabolism,ecd00910:Nitrogen metabolism,ece00910:Nitrogen metabolism,ecf00910:Nitrogen metabolism,ecg00910:Nitrogen metabolism,eci00910:Nitrogen metabolism,ecj00910:Nitrogen metabolism,eck00910:Nitrogen metabolism,ecm00910:Nitrogen metabolism,eco00910:Nitrogen metabolism,ecq00910:Nitrogen metabolism,ecr00910:Nitrogen metabolism,ect00910:Nitrogen metabolism,ecv00910:Nitrogen metabolism,ecw00910:Nitrogen metabolism,ecx00910:Nitrogen metabolism,ecz00910:Nitrogen metabolism,eum00910:Nitrogen metabolism,
narY	Respiratory nitrate reductase 2 beta chain	Escherichia coli	ecc00910:Nitrogen metabolism,ecd00910:Nitrogen metabolism,ece00910:Nitrogen metabolism,ecf00910:Nitrogen metabolism,ecg00910:Nitrogen metabolism,eci00910:Nitrogen metabolism,ecj00910:Nitrogen metabolism,eck00910:Nitrogen metabolism,ecm00910:Nitrogen metabolism,eco00910:Nitrogen metabolism,ecq00910:Nitrogen metabolism,ecr00910:Nitrogen metabolism,ect00910:Nitrogen metabolism,ecv00910:Nitrogen metabolism,ecw00910:Nitrogen metabolism,ecx00910:Nitrogen metabolism,ecz00910:Nitrogen metabolism,eum00910:Nitrogen metabolism,
narW	Respiratory nitrate reductase 2 delta chain	Escherichia coli	ecc00910:Nitrogen metabolism,ecd00910:Nitrogen metabolism,ece00910:Nitrogen metabolism,ecf00910:Nitrogen metabolism,ecg00910:Nitrogen metabolism,eci00910:Nitrogen metabolism,ecj00910:Nitrogen metabolism,eck00910:Nitrogen metabolism,ecm00910:Nitrogen metabolism,eco00910:Nitrogen metabolism,ecq00910:Nitrogen metabolism,ecr00910:Nitrogen metabolism,ect00910:Nitrogen metabolism,ecv00910:Nitrogen metabolism,ecw00910:Nitrogen metabolism,ecx00910:Nitrogen metabolism,ecz00910:Nitrogen metabolism,eum00910:Nitrogen metabolism,
narV	Respiratory nitrate reductase 2 gamma chain	Escherichia coli	ecc00910:Nitrogen metabolism,ecd00910:Nitrogen metabolism,ece00910:Nitrogen metabolism,ecf00910:Nitrogen metabolism,ecg00910:Nitrogen metabolism,eci00910:Nitrogen metabolism,ecj00910:Nitrogen metabolism,eck00910:Nitrogen metabolism,ecm00910:Nitrogen metabolism,eco00910:Nitrogen metabolism,ecq00910:Nitrogen metabolism,ecr00910:Nitrogen metabolism,ect00910:Nitrogen metabolism,ecv00910:Nitrogen metabolism,ecz00910:Nitrogen metabolism,eum00910:Nitrogen metabolism,
uvrY	Response regulator uvrY	Escherichia coli	ecc02020:Two-component system,ecd02020:Two-component system,ece02020:Two-component system,ecf02020:Two-component system,ecg02020:Two-component system,eci02020:Two-component system,ecj02020:Two-component system,eck02020:Two-component system,ecm02020:Two-component system,eco02020:Two-component system,ecq02020:Two-component system,ecr02020:Two-component system,ect02020:Two-component system,ecv02020:Two-component system,ecw02020:Two-component system,ecx02020:Two-component system,ecz02020:Two-component system,eum02020:Two-component system,
ribD	Riboflavin biosynthesis protein ribD	Escherichia coli	ecc00740:Riboflavin metabolism,ecd00740:Riboflavin metabolism,ece00740:Riboflavin metabolism,ecf00740:Riboflavin metabolism,ecg00740:Riboflavin metabolism,eci00740:Riboflavin metabolism,ecj00740:Riboflavin metabolism,eck00740:Riboflavin metabolism,ecl00740:Riboflavin metabolism,ecm00740:Riboflavin metabolism,eco00740:Riboflavin metabolism,ecp00740:Riboflavin metabolism,ecq00740:Riboflavin metabolism,ecr00740:Riboflavin metabolism,ecs00740:Riboflavin metabolism,ect00740:Riboflavin metabolism,ecv00740:Riboflavin metabolism,ecw00740:Riboflavin metabolism,ecx00740:Riboflavin metabolism,ecy00740:Riboflavin metabolism,ecz00740:Riboflavin metabolism,eum00740:Riboflavin metabolism,
ribF	Riboflavin biosynthesis protein ribF	Escherichia coli	ecc00740:Riboflavin metabolism,ecd00740:Riboflavin metabolism,ece00740:Riboflavin metabolism,ecf00740:Riboflavin metabolism,ecg00740:Riboflavin metabolism,eci00740:Riboflavin metabolism,ecj00740:Riboflavin metabolism,eck00740:Riboflavin metabolism,ecm00740:Riboflavin metabolism,eco00740:Riboflavin metabolism,ecq00740:Riboflavin metabolism,ecr00740:Riboflavin metabolism,ect00740:Riboflavin metabolism,ecv00740:Riboflavin metabolism,ecw00740:Riboflavin metabolism,ecx00740:Riboflavin metabolism,ecz00740:Riboflavin metabolism,eum00740:Riboflavin metabolism,
ribC	Riboflavin synthase alpha chain	Escherichia coli	ecd00740:Riboflavin metabolism,ecg00740:Riboflavin metabolism,eci00740:Riboflavin metabolism,ecj00740:Riboflavin metabolism,eck00740:Riboflavin metabolism,eco00740:Riboflavin metabolism,ecq00740:Riboflavin metabolism,ecr00740:Riboflavin metabolism,ect00740:Riboflavin metabolism,ecz00740:Riboflavin metabolism,eum00740:Riboflavin metabolism,
rne	Ribonuclease E	Escherichia coli	ecc03018:RNA degradation,ecd03018:RNA degradation,ece03018:RNA degradation,ecf03018:RNA degradation,ecg03018:RNA degradation,eci03018:RNA degradation,ecj03018:RNA degradation,eck03018:RNA degradation,ecl03018:RNA degradation,ecm03018:RNA degradation,eco03018:RNA degradation,ecp03018:RNA degradation,ecq03018:RNA degradation,ecr03018:RNA degradation,ecs03018:RNA degradation,ect03018:RNA degradation,ecv03018:RNA degradation,ecw03018:RNA degradation,ecx03018:RNA degradation,ecy03018:RNA degradation,ecz03018:RNA degradation,eum03018:RNA degradation,
