Protein_id,gene_name,mRNA_ID,b#
YP_003044531.1,ydaO,ECB_01321,b1344
YP_003044532.1,intR,ECB_01322,b1345
YP_003044534.1,ydaC,ECB_01324,b1347
YP_003044535.1,lar,ECB_01325,b1348
YP_003044536.1,recT,ECB_01326,b1349
YP_003044537.1,recE,ECB_01327,b1350
YP_003044538.1,racC,ECB_01328,b1351
YP_003044540.1,kil,ECB_01330,b1352
YP_003044541.1,sieB,ECB_01331,b1353
YP_003044543.1,ydaG,ECB_01333,b1355
YP_003044549.1,trkG,ECB_01339,b1363
YP_003044550.1,ynaK,ECB_01340,b1365
YP_003044711.1,stfR,ECB_01508,b1372
YP_003044555.1,pinR,ECB_01345,b1374
YP_003044556.1,ynaE,ECB_01346,b1375
YP_003044557.1,ynaF,ECB_01347,b1376
YP_003044558.1,ompN,ECB_01348,b1377
YP_003044559.1,ydbK,ECB_01349,b1378
YP_003044561.1,hslJ,ECB_01351,b1379
YP_003044562.1,ldhA,ECB_01352,b1380
YP_003044563.1,ydbH,ECB_01353,b1381
YP_003044564.1,ynbE,ECB_01354,b1382
YP_003044565.1,ydbL,ECB_01355,b1383
YP_003044566.1,feaR,ECB_01356,b1384
YP_003044567.1,feaB,ECB_01357,b1385
YP_003044568.1,tynA,ECB_01358,b1386
YP_003044571.1,ydbC,ECB_01361,b1406
YP_003044572.1,ydbD,ECB_01362,b1407
YP_003044573.1,ynbA,ECB_01363,b1408
YP_003044574.1,ynbB,ECB_01364,b1409
YP_003044575.1,ynbC,ECB_01365,b1410
YP_003044576.1,ynbD,ECB_01366,b1411
YP_003044577.1,acpD,ECB_01367,b1412
YP_003044578.1,hrpA,ECB_01368,b1413
YP_003044579.1,ydcF,ECB_01369,b1414
YP_003044580.1,aldA,ECB_01370,b1415
YP_003044584.1,cybB,ECB_01374,b1418
YP_003044585.1,ydcA,ECB_01375,b1419
YP_003044587.1,mokB,ECB_01377,b1420
YP_003044588.1,trg,ECB_01378,b1421
YP_003044589.1,ydcI,ECB_01379,b1422
YP_003044590.1,ydcJ,ECB_01380,b1423
YP_003044591.1,mdoD,ECB_01381,b1424
YP_003044593.1,ydcH,ECB_01383,b1426
YP_003044594.1,rimL,ECB_01384,b1427
YP_003044595.1,ydcK,ECB_01385,b1428
YP_003044596.1,tehA,ECB_01386,b1429
YP_003044597.1,tehB,ECB_01387,b1430
YP_003044598.1,ydcL,ECB_01388,b1431
YP_003044599.1,ydcM,ECB_01390,b1432
YP_003044600.1,ydcO,ECB_01391,b1433
YP_003044601.1,ydcN,ECB_01392,b1434
YP_003044602.1,ydcP,ECB_01393,b1435
YP_003044603.1,yncJ,ECB_01394,b1436
YP_003044604.1,ydcQ,ECB_01395,b1438
YP_003044605.1,ydcR,ECB_01396,b1439
YP_003044606.1,ydcS,ECB_01397,b1440
YP_003044607.1,ydcT,ECB_01398,b1441
YP_003044608.1,ydcU,ECB_01399,b1442
YP_003044609.1,ydcV,ECB_01400,b1443
YP_003044610.1,ydcW,ECB_01401,b1444
YP_003044611.1,ydcX,ECB_01402,b1445
YP_003044612.1,ydcY,ECB_01403,b1446
YP_003044613.1,ydcZ,ECB_01404,b1447
YP_003044614.1,yncA,ECB_01405,b1448
YP_003044615.1,yncB,ECB_01406,b1449
YP_003044616.1,yncC,ECB_01407,b1450
YP_003044617.1,yncD,ECB_01408,b1451
YP_003044618.1,yncE,ECB_01409,b1452
YP_003044619.1,ansP,ECB_01410,b1453
YP_003044620.1,yncG,ECB_01411,b1454
YP_003044621.1,yncH,ECB_01412,b1455
YP_003044623.1,rhsE,ECB_01414,b1456
YP_003044624.1,ydcD,ECB_01415,b1457
YP_003044627.1,ydcC,ECB_01418,b1460
YP_003044628.1,ydcE,ECB_01419,b1461
YP_003044629.1,yddH,ECB_01420,b1462
YP_003044630.1,nhoA,ECB_01421,b1463
YP_003044631.1,narV,ECB_01423,b1465
YP_003044632.1,narW,ECB_01424,b1466
YP_003044633.1,narY,ECB_01425,b1467
YP_003044634.1,narZ,ECB_01426,b1468
YP_003044635.1,narU,ECB_01427,b1469
YP_003044636.1,yddJ,ECB_01428,b1471
YP_003044639.1,yddG,ECB_01431,b1473
YP_003044640.1,fdnG,ECB_01432,b1474
YP_003044641.1,fdnH,ECB_01433,b1475
YP_003044642.1,fdnI,ECB_01434,b1476
YP_003044643.1,yddM,ECB_01435,b1477
YP_003044644.1,adhP,ECB_01436,b1478
YP_003044645.1,sfcA,ECB_01437,b1479
YP_003044646.1,rpsV,ECB_01438,b1480
YP_003044647.1,bdm,ECB_01439,b1481
YP_003044648.1,osmC,ECB_01440,b1482
YP_003044649.1,yddO,ECB_01441,b1483
YP_003044650.1,yddP,ECB_01442,b1484
YP_003044651.1,yddQ,ECB_01443,b1485
YP_003044652.1,yddR,ECB_01444,b1486
YP_003044653.1,yddS,ECB_01445,b1487
YP_003044654.1,ddpX,ECB_01446,b1488
YP_003044655.1,dos,ECB_01447,b1489
YP_003044656.1,yddV,ECB_01448,b1490
YP_003044657.1,yddW,ECB_01449,b1491
YP_003044658.1,xasA,ECB_01450,b1492
YP_003044659.1,gadB,ECB_01451,b1493
YP_003044660.1,pqqL,ECB_01452,b1494
YP_003044661.1,yddB,ECB_01453,b1495
YP_003044662.1,yddA,ECB_01454,b1496
YP_003044663.1,ydeM,ECB_01455,b1497
YP_003044664.1,ydeN,ECB_01456,b1498
YP_003044665.1,ydeO,ECB_01457,b1499
YP_003044667.1,ydeP,ECB_01459,b1501
YP_003044668.1,ydeQ,ECB_01460,b1502
YP_003044669.1,ydeR,ECB_01461,b1503
YP_003044670.1,ydeS,ECB_01462,b1504
YP_003044673.1,hipA,ECB_01469,b1507
YP_003044674.1,hipB,ECB_01470,b1508
YP_003044675.1,ydeZ,ECB_01472,b1515
YP_003044676.1,yneA,ECB_01473,b1516
YP_003044677.1,yneB,ECB_01474,b1517
YP_003044678.1,yneC,ECB_01475,b1518
YP_003044679.1,tam,ECB_01476,b1519
YP_003044680.1,yneE,ECB_01477,b1520
YP_003044681.1,uxaB,ECB_01478,b1521
YP_003044682.1,yneF,ECB_01479,b1522
YP_003044683.1,yneG,ECB_01480,b1523
YP_003044684.1,yneH,ECB_01481,b1524
YP_003044685.1,yneI,ECB_01482,b1525
YP_003044686.1,yneJ,ECB_01483,b1526
YP_003044687.1,yneK,ECB_01484,b1527
YP_003044688.1,sotB,ECB_01485,b1528
YP_003044689.1,marC,ECB_01486,b1529
YP_003044692.1,marR,ECB_01489,b1530
YP_003044693.1,marA,ECB_01490,b1531
YP_003044694.1,marB,ECB_01491,b1532
YP_003044695.1,eamA,ECB_01492,b1533
YP_003044696.1,ydeE,ECB_01493,b1534
YP_003044697.1,ydeH,ECB_01494,b1535
YP_003044698.1,ydeI,ECB_01495,b1536
YP_003044699.1,ydeJ,ECB_01496,b1537
YP_003044700.1,dcp,ECB_01497,b1538
YP_003044701.1,ydfG,ECB_01498,b1539
YP_003044702.1,ydfH,ECB_01499,b1540
YP_003044703.1,ydfZ,ECB_01500,b1541
YP_003044704.1,ydfI,ECB_01501,b1542
YP_003044706.1,ydfK,ECB_01503,b1544
YP_003044707.1,pinQ,ECB_01504,b1545
YP_003044717.1,gnsB,ECB_01514,b1550
YP_003044718.1,ynfN,ECB_01515,b1551
YP_003044720.1,cspI,ECB_01517,b1552
YP_003044721.1,ydfP,ECB_01518,b1553
YP_003044723.1,ydfR,ECB_01520,b1555
YP_003044724.1,essQ,ECB_01521,b1556
YP_003044731.1,ydfU,ECB_01529,b1560
YP_003044733.1,rem,ECB_01531,b1561
YP_003044734.1,hokD,ECB_01532,b1562
YP_003044740.1,dicC,ECB_01538,b1569
YP_003044745.1,dicB,ECB_01543,b1575
YP_003044746.1,ydfD,ECB_01544,b1576
YP_003044749.1,rspB,ECB_01549,b1580
YP_003044750.1,rspA,ECB_01550,b1581
YP_003044751.1,ynfA,ECB_01551,b1582
YP_003044752.1,ynfB,ECB_01552,b1583
YP_003044753.1,speG,ECB_01553,b1584
YP_003044754.1,ynfC,ECB_01554,b1585
YP_003044755.1,ynfD,ECB_01555,b1586
YP_003044756.1,ynfE,ECB_01556,b1587
YP_003044757.1,ynfF,ECB_01557,b1588
YP_003044758.1,ynfG,ECB_01558,b1589
YP_003044759.1,ynfH,ECB_01559,b1590
YP_003044760.1,ynfI,ECB_01560,b1591
YP_003044761.1,ynfJ,ECB_01561,b1592
YP_003044762.1,ynfK,ECB_01562,b1593
YP_003044763.1,mlc,ECB_01563,b1594
YP_003044764.1,ynfL,ECB_01564,b1595
YP_003044765.1,ynfM,ECB_01565,b1596
YP_003044766.1,asr,ECB_01566,b1597
YP_003044767.1,ydgD,ECB_01567,b1598
YP_003044768.1,ydgE,ECB_01568,b1599
YP_003044769.1,ydgF,ECB_01569,b1600
YP_003044770.1,tqsA,ECB_01570,b1601
YP_003044771.1,pntB,ECB_01571,b1602
YP_003044772.1,pntA,ECB_01572,b1603
YP_003044773.1,ydgH,ECB_01573,b1604
YP_003044774.1,ydgI,ECB_01574,b1605
YP_003044775.1,ydgB,ECB_01575,chpA
YP_003044776.1,ydgC,ECB_01576,b1607
YP_003044777.1,rstA,ECB_01577,b1608
YP_003044778.1,rstB,ECB_01578,b1609
YP_003044779.1,tus,ECB_01579,b1610
YP_003044780.1,fumC,ECB_01580,b1611
YP_003044781.1,fumA,ECB_01581,b1612
YP_003044782.1,manA,ECB_01582,b1613
YP_003044783.1,ydgA,ECB_01583,b1614
YP_003044784.1,uidC,ECB_01584,b1615
YP_003044785.1,uidB,ECB_01585,b1616
YP_003044786.1,uidA,ECB_01586,b1617
YP_003044787.1,uidR,ECB_01587,b1618
YP_003044788.1,hdhA,ECB_01588,b1619
YP_003044789.1,malI,ECB_01589,b1620
YP_003044790.1,malX,ECB_01590,b1621
YP_003044791.1,malY,ECB_01591,b1622
YP_003044792.1,add,ECB_01592,b1623
YP_003044793.1,ydgJ,ECB_01593,b1624
YP_003044795.1,ydgT,ECB_01595,b1625
YP_003044796.1,ydgK,ECB_01596,b1626
YP_003044797.1,rnfA,ECB_01597,b1627
YP_003044798.1,rnfB,ECB_01598,b1628
YP_003044799.1,rnfC,ECB_01599,b1629
YP_003044800.1,rnfD,ECB_01600,b1630
YP_003044801.1,rnfG,ECB_01601,b1631
YP_003044802.1,rnfE,ECB_01602,b1632
YP_003044803.1,nth,ECB_01603,b1633
YP_003044804.1,tppB,ECB_01604,b1634
YP_003044805.1,gst,ECB_01605,b1635
YP_003044806.1,pdxY,ECB_01606,b1636
YP_003044807.1,tyrS,ECB_01607,b1637
YP_003044808.1,pdxH,ECB_01608,b1638
YP_003044809.1,ydhA,ECB_01609,b1639
YP_003044810.1,anmK,ECB_01610,b1640
YP_003044811.1,slyB,ECB_01611,b1641
YP_003044812.1,slyA,ECB_01612,b1642
YP_003044813.1,ydhI,ECB_01613,b1643
YP_003044814.1,ydhJ,ECB_01614,b1644
YP_003044815.1,ydhK,ECB_01615,b1645
YP_003044816.1,sodC,ECB_01616,b1646
YP_003044817.1,ydhF,ECB_01617,b1647
YP_003044818.1,ydhL,ECB_01618,b1648
YP_003044819.1,ydhM,ECB_01619,b1649
YP_003044820.1,nemA,ECB_01620,b1650
YP_003044821.1,gloA,ECB_01621,b1651
YP_003044822.1,rnt,ECB_01622,b1652
YP_003044823.1,lhr,ECB_01623,b1653
YP_003044824.1,ydhD,ECB_01624,b1654
YP_003044825.1,ydhO,ECB_01625,b1655
YP_003044826.1,sodB,ECB_01626,b1656
YP_003044827.1,ydhP,ECB_01627,b1657
YP_003044829.1,purR,ECB_01629,b1658
YP_003044830.1,ydhB,ECB_01630,b1659
YP_003044831.1,ydhC,ECB_01631,b1660
YP_003044832.1,cfa,ECB_01632,b1661
YP_003044833.1,ribC,ECB_01633,b1662
YP_003044834.1,norM,ECB_01634,b1663
YP_003044835.1,ydhQ,ECB_01635,b1664
YP_003044836.1,ydhR,ECB_01636,b1667
YP_003044837.1,ydhS,ECB_01637,b1668
YP_003044838.1,ydhT,ECB_01638,b1669
YP_003044839.1,ydhU,ECB_01639,b1670
YP_003044840.1,ydhX,ECB_01640,b1671
YP_003044841.1,ydhW,ECB_01641,b1672
YP_003044842.1,ydhV,ECB_01642,b1673
YP_003044843.1,ydhY,ECB_01643,b1674
YP_003044844.1,ydhZ,ECB_01644,b1675
YP_003044845.1,pykF,ECB_01645,b1676
YP_003044846.1,lpp,ECB_01646,b1677
YP_003044847.1,ynhG,ECB_01647,b1678
YP_003044848.1,sufE,ECB_01648,b1679
YP_003044849.1,sufS,ECB_01649,b1680
YP_003044850.1,sufD,ECB_01650,b1681
YP_003044851.1,sufC,ECB_01651,b1682
YP_003044852.1,sufB,ECB_01652,b1683
YP_003044853.1,sufA,ECB_01653,b1684
YP_003044854.1,ydiH,ECB_01654,b1685
YP_003044855.1,ydiI,ECB_01655,b1686
YP_003044856.1,ydiJ,ECB_01656,b1687
YP_003044857.1,ydiK,ECB_01657,b1688
YP_003044858.1,ydiL,ECB_01658,b1689
YP_003044859.1,ydiN,ECB_01660,b1691
YP_003044860.1,ydiB,ECB_01661,b1692
YP_003044861.1,aroD,ECB_01662,b1693
YP_003044862.1,ydiF,ECB_01663,b1694
YP_003044863.1,ydiO,ECB_01664,b1695
YP_003044864.1,ydiP,ECB_01665,b1696
YP_003044865.1,ydiQ,ECB_01666,b1697
YP_003044866.1,ydiR,ECB_01667,b1698
YP_003044867.1,ydiS,ECB_01668,b1699
YP_003044868.1,ydiT,ECB_01669,b1700
YP_003044869.1,ydiD,ECB_01670,b1701
YP_003044870.1,ppsA,ECB_01671,b1702
YP_003044871.1,ydiA,ECB_01672,b1703
YP_003044872.1,aroH,ECB_01673,b1704
YP_003044873.1,ydiE,ECB_01674,b1705
YP_003044874.1,ydiU,ECB_01675,b1706
YP_003044875.1,ydiV,ECB_01676,b1707
YP_003044876.1,nlpC,ECB_01677,b1708
YP_003044877.1,btuD,ECB_01678,b1709
YP_003044878.1,btuE,ECB_01679,b1710
YP_003044879.1,btuC,ECB_01680,b1711
YP_003044880.1,ihfA,ECB_01681,b1712
YP_003044881.1,pheT,ECB_01682,b1713
YP_003044882.1,pheS,ECB_01683,b1714
YP_003044884.1,rplT,ECB_01685,b1716
YP_003044885.1,rpmI,ECB_01686,b1717
YP_003044886.1,infC,ECB_01687,b1718
YP_003044887.1,thrS,ECB_01688,b1719
YP_003044889.1,ydiY,ECB_01691,b1722
YP_003044890.1,pfkB,ECB_01692,b1723
YP_003044891.1,ydiZ,ECB_01693,b1724
YP_003044892.1,yniA,ECB_01694,b1725
YP_003044893.1,yniB,ECB_01695,b1726
YP_003044894.1,yniC,ECB_01696,b1727
YP_003044895.1,ydjM,ECB_01697,b1728
YP_003044896.1,ydjN,ECB_01698,b1729
YP_003044897.1,ydjO,ECB_01699,b1730
YP_003044898.1,cedA,ECB_01700,b1731
YP_003044899.1,katE,ECB_01701,b1732
YP_003044900.1,ydjC,ECB_01702,b1733
YP_003044901.1,celF,ECB_01703,b1734
YP_003044902.1,celD,ECB_01704,b1735
YP_003044903.1,celC,ECB_01705,b1736
YP_003044904.1,celB,ECB_01706,b1737
YP_003044905.1,celA,ECB_01707,b1738
YP_003044906.1,osmE,ECB_01708,b1739
YP_003044907.1,nadE,ECB_01709,b1740
YP_003044908.1,ydjQ,ECB_01710,b1741
YP_003044909.1,ydjR,ECB_01711,b1742
YP_003044910.1,spy,ECB_01712,b1743
YP_003044911.1,astE,ECB_01713,b1744
YP_003044912.1,astB,ECB_01714,b1745
YP_003044913.1,astD,ECB_01715,b1746
YP_003044914.1,astA,ECB_01716,b1747
YP_003044915.1,astC,ECB_01717,b1748
YP_003044916.1,xthA,ECB_01718,b1749
YP_003044917.1,ydjX,ECB_01719,b1750
YP_003044918.1,ydjZ,ECB_01721,b1752
YP_003044919.1,ynjA,ECB_01722,b1753
YP_003044920.1,ynjB,ECB_01723,b1754
YP_003044921.1,ynjC,ECB_01724,b1755
YP_003044922.1,ynjD,ECB_01725,b1756
YP_003044923.1,ynjE,ECB_01726,b1757
YP_003044924.1,ynjF,ECB_01727,b1758
YP_003044925.1,nudG,ECB_01728,b1759
YP_003044926.1,ynjH,ECB_01729,b1760
YP_003044927.1,gdhA,ECB_01730,b1761
YP_003044928.1,ynjI,ECB_01731,b1762
YP_003044929.1,topB,ECB_01732,b1763
YP_003044930.1,selD,ECB_01733,b1764
YP_003044931.1,ydjA,ECB_01734,b1765
YP_003044932.1,sppA,ECB_01735,b1766
YP_003044933.1,ansA,ECB_01736,b1767
YP_003044934.1,pncA,ECB_01737,b1768
YP_003044935.1,ydjE,ECB_01738,b1769
YP_003044936.1,ydjF,ECB_01739,b1770
YP_003044937.1,ydjG,ECB_01740,b1771
YP_003044938.1,ydjH,ECB_01741,b1772
YP_003044939.1,ydjI,ECB_01742,b1773
YP_003044940.1,ydjJ,ECB_01743,b1774
YP_003044941.1,ydjK,ECB_01744,b1775
YP_003044942.1,ydjL,ECB_01745,b1776
YP_003044943.1,yeaC,ECB_01746,b1777
YP_003044944.1,yeaA,ECB_01747,b1778
YP_003044945.1,gapA,ECB_01748,b1779
YP_003044946.1,yeaD,ECB_01749,b1780
YP_003044947.1,yeaE,ECB_01750,b1781
YP_003044948.1,mipA,ECB_01751,b1782
YP_003044949.1,yeaG,ECB_01752,b1783
YP_003044950.1,yeaH,ECB_01753,b1784
YP_003044951.1,yeaI,ECB_01754,b1785
YP_003044952.1,yeaJ,ECB_01755,b1786
YP_003044953.1,yeaK,ECB_01756,b1787
YP_003044955.1,yeaL,ECB_01758,b1789
YP_003044956.1,yeaM,ECB_01759,b1790
YP_003044957.1,yeaN,ECB_01760,b1791
YP_003044958.1,yeaO,ECB_01761,b1792
YP_003044959.1,yoaF,ECB_01762,b1793
YP_003044960.1,yeaP,ECB_01763,b1794
YP_003044961.1,yeaQ,ECB_01764,b1795
YP_003044962.1,yoaG,ECB_01765,b1796
YP_003044963.1,yeaR,ECB_01766,b1797
YP_003044965.1,yeaS,ECB_01768,b1798
YP_003044966.1,yeaT,ECB_01769,b1799
YP_003044967.1,yeaU,ECB_01770,b1800
YP_003044968.1,yeaV,ECB_01771,b1801
YP_003044969.1,yeaW,ECB_01772,b1802
YP_003044970.1,yeaX,ECB_01773,b1803
YP_003044971.1,rnd,ECB_01774,b1804
YP_003044972.1,fadD,ECB_01775,b1805
YP_003044973.1,yeaY,ECB_01776,b1806
YP_003044974.1,yeaZ,ECB_01777,b1807
YP_003044975.1,yoaA,ECB_01778,b1808
YP_003044976.1,yoaB,ECB_01779,b1809
YP_003044977.1,yoaC,ECB_01780,b1810
YP_003044978.1,yoaH,ECB_01781,b1811
YP_003044979.1,pabB,ECB_01782,b1812
YP_003044980.1,yeaB,ECB_01783,b1813
YP_003044981.1,sdaA,ECB_01784,b1814
YP_003044982.1,yoaD,ECB_01785,b1815
YP_003044983.1,yoaE,ECB_01786,b1816
YP_003044984.1,manX,ECB_01787,b1817
YP_003044985.1,manY,ECB_01788,b1818
YP_003044986.1,manZ,ECB_01789,b1819
YP_003044987.1,yobD,ECB_01790,b1820
YP_003044988.1,yebN,ECB_01791,b1821
YP_003044989.1,rrmA,ECB_01792,b1822
YP_003044990.1,cspC,ECB_01793,b1823
YP_003044991.1,yobF,ECB_01794,b1824
YP_003044992.1,yebO,ECB_01795,b1825
YP_003044993.1,yobG,ECB_01796,b1826
YP_003044995.1,kdgR,ECB_01798,b1827
YP_003044996.1,yebQ,ECB_01799,b1828
YP_003044997.1,htpX,ECB_01800,b1829
YP_003044998.1,prc,ECB_01801,b1830
YP_003044999.1,proQ,ECB_01802,b1831
YP_003045000.1,yebR,ECB_01803,b1832
YP_003045001.1,yebS,ECB_01804,b1833
YP_003045002.1,yebT,ECB_01805,b1834
YP_003045003.1,yebU,ECB_01806,b1835
YP_003045004.1,yebV,ECB_01807,b1836
YP_003045005.1,yebW,ECB_01808,b1837
YP_003045006.1,pphA,ECB_01809,b1838
YP_003045007.1,yebY,ECB_01810,b1839
YP_003045008.1,yebZ,ECB_01811,b1840
YP_003045009.1,yobA,ECB_01812,b1841
YP_003045010.1,holE,ECB_01813,b1842
YP_003045011.1,yobB,ECB_01814,b1843
YP_003045012.1,exoX,ECB_01815,b1844
YP_003045013.1,ptrB,ECB_01816,b1845
YP_003045014.1,yebE,ECB_01817,b1846
YP_003045015.1,yebF,ECB_01818,b1847
YP_003045016.1,yebG,ECB_01819,b1848
YP_003045017.1,purT,ECB_01820,b1849
YP_003045018.1,eda,ECB_01821,b1850
YP_003045019.1,edd,ECB_01822,b1851
YP_003045020.1,zwf,ECB_01823,b1852
YP_003045021.1,yebK,ECB_01824,b1853
YP_003045022.1,pykA,ECB_01825,b1854
YP_003045023.1,msbB,ECB_01826,b1855
YP_003045024.1,yebA,ECB_01827,b1856
YP_003045025.1,znuA,ECB_01828,b1857
YP_003045026.1,znuC,ECB_01829,b1858
YP_003045027.1,znuB,ECB_01830,b1859
YP_003045028.1,ruvB,ECB_01831,b1860
YP_003045029.1,ruvA,ECB_01832,b1861
YP_003045030.1,yebB,ECB_01833,b1862
YP_003045031.1,ruvC,ECB_01834,b1863
YP_003045032.1,yebC,ECB_01835,b1864
YP_003045033.1,ntpA,ECB_01836,b1865
YP_003045034.1,aspS,ECB_01837,b1866
YP_003045035.1,yecD,ECB_01838,b1867
YP_003045036.1,yecE,ECB_01839,b1868
YP_003045037.1,yecN,ECB_01840,b1869
YP_003045038.1,yecO,ECB_01841,b1870
YP_003045039.1,yecP,ECB_01842,b1871
YP_003045040.1,torZ,ECB_01843,b1872
YP_003045041.1,torY,ECB_01844,b1873
YP_003045042.1,cutC,ECB_01845,b1874
YP_003045043.1,yecM,ECB_01846,b1875
YP_003045044.1,argS,ECB_01847,b1876
YP_003045045.1,yecT,ECB_01848,b1877
YP_003045046.1,flhE,ECB_01849,b1878
YP_003045047.1,flhA,ECB_01850,b1879
YP_003045048.1,flhB,ECB_01851,b1880
YP_003045049.1,cheZ,ECB_01852,b1881
YP_003045050.1,cheY,ECB_01853,b1882
YP_003045051.1,cheB,ECB_01854,b1883
YP_003045052.1,cheR,ECB_01855,b1884
YP_003045053.1,tap,ECB_01856,b1885
YP_003045054.1,tar,ECB_01857,b1886
YP_003045055.1,cheW,ECB_01858,b1887
YP_003045056.1,cheA,ECB_01859,b1888
YP_003045057.1,motB,ECB_01860,b1889
YP_003045058.1,motA,ECB_01861,b1890
YP_003045059.1,flhC,ECB_01862,b1891
YP_003045060.1,flhD,ECB_01863,b1892
YP_003045061.1,yecG,ECB_01864,b1895
YP_003045062.1,otsA,ECB_01865,b1896
YP_003045063.1,otsB,ECB_01866,b1897
YP_003045065.1,araG,ECB_01868,b1900
YP_003045066.1,araF,ECB_01869,b1901
YP_003045067.1,yecI,ECB_01870,b1902
YP_003045069.1,yecR,ECB_01872,b1904
YP_003045070.1,ftn,ECB_01873,b1905
YP_003045071.1,yecH,ECB_01874,b1906
YP_003045072.1,tyrP,ECB_01875,b1907
YP_003045073.1,yecA,ECB_01876,b1908
YP_003045074.1,pgsA,ECB_01877,b1912
YP_003045075.1,uvrC,ECB_01878,b1913
YP_003045076.1,uvrY,ECB_01879,b1914
YP_003046502.1,sirA,ECB_03319,b1914
YP_003045079.1,yedU,ECB_01882,b1967
YP_003045080.1,yedV,ECB_01883,b1968
YP_003045081.1,yedW,ECB_01884,b1969
YP_003045082.1,yedX,ECB_01885,b1970
YP_003045083.1,yedY,ECB_01886,b1971
YP_003045084.1,yedZ,ECB_01887,b1972
YP_003045085.1,yodA,ECB_01888,b1973
YP_003045086.1,yodB,ECB_01889,b1974
YP_003045087.1,yeeI,ECB_01890,b1976
YP_003045088.1,yeeJ,ECB_01891,b1978
YP_003045089.1,shiA,ECB_01893,b1981
YP_003045090.1,amn,ECB_01894,b1982
YP_003045091.1,yeeN,ECB_01895,b1983
YP_003045092.1,yeeO,ECB_01896,b1985
YP_003045093.1,cbl,ECB_01897,b1987
YP_003045094.1,nac,ECB_01898,b1988
YP_003045095.1,erfK,ECB_01899,b1990
YP_003045096.1,cobT,ECB_01900,b1991
YP_003045097.1,cobS,ECB_01901,b1992
YP_003045098.1,cobU,ECB_01902,b1993
YP_003045987.1,flu,ECB_02800,b2000
YP_003045988.1,yeeR,ECB_02801,b2001
YP_003045992.1,yeeS,ECB_02805,b2002
YP_003045993.1,yeeT,ECB_02806,b2003
YP_003045994.1,yeeU,ECB_02807,b2004
YP_003045995.1,yeeV,ECB_02808,b2005
YP_003045104.1,yeeX,ECB_01910,b2007
YP_003045105.1,yeeA,ECB_01911,b2008
YP_003045106.1,sbmC,ECB_01912,b2009
YP_003045107.1,dacD,ECB_01913,b2010
YP_003045108.1,sbcB,ECB_01914,b2011
YP_003045109.1,yeeD,ECB_01915,b2012
YP_003045110.1,yeeE,ECB_01916,b2013
YP_003045111.1,yeeF,ECB_01917,b2014
YP_003045112.1,yeeY,ECB_01918,b2015
YP_003045113.1,yeeZ,ECB_01919,b2016
YP_003045115.1,hisG,ECB_01921,b2019
YP_003045116.1,hisD,ECB_01922,b2020
YP_003045117.1,hisC,ECB_01923,b2021
YP_003045118.1,hisB,ECB_01924,b2022
YP_003045119.1,hisH,ECB_01925,b2023
YP_003045120.1,hisA,ECB_01926,b2024
YP_003045121.1,hisF,ECB_01927,b2025
YP_003045122.1,hisI,ECB_01928,b2026
YP_003045123.1,wzzB,ECB_01929,b2027
YP_003045124.1,ugd,ECB_01930,b2028
YP_003045125.1,gnd,ECB_01931,b2029
YP_003045138.1,rmlC,ECB_01944,b2038
YP_003045139.1,rfbA,ECB_01945,b2039
YP_003045140.1,rfbD,ECB_01946,b2040
YP_003045141.1,rfbB,ECB_01947,b2041
YP_003045142.1,galF,ECB_01948,b2042
YP_003045143.1,wcaM,ECB_01949,b2043
YP_003045144.1,wcaL,ECB_01950,b2044
YP_003045145.1,wcaK,ECB_01951,b2045
YP_003045137.1,wzx,ECB_01943,b2046
YP_003045146.1,wzxC,ECB_01952,b2046
YP_003045147.1,wcaJ,ECB_01953,b2047
YP_003045126.1,manB,ECB_01932,b2048
YP_003045148.1,cpsG,ECB_01954,b2048
YP_003045127.1,manC,ECB_01933,b2049
YP_003045149.1,cpsB,ECB_01955,b2049
YP_003045150.1,wcaI,ECB_01956,b2050
YP_003045151.1,wcaH,ECB_01957,b2051
YP_003045152.1,wcaG,ECB_01958,b2052
YP_003045153.1,gmd,ECB_01959,b2053
YP_003045154.1,wcaF,ECB_01960,b2054
YP_003045155.1,wcaE,ECB_01961,b2055
YP_003045156.1,wcaD,ECB_01962,b2056
YP_003045157.1,wcaC,ECB_01963,b2057
YP_003045158.1,wcaB,ECB_01964,b2058
YP_003045159.1,wcaA,ECB_01965,b2059
YP_003045160.1,wzc,ECB_01966,b2060
YP_003045161.1,wzb,ECB_01967,b2061
YP_003045162.1,wza,ECB_01968,b2062
YP_003045163.1,yegH,ECB_01969,b2063
YP_003045164.1,asmA,ECB_01970,b2064
YP_003045165.1,dcd,ECB_01971,b2065
YP_003045166.1,udk,ECB_01972,b2066
YP_003045167.1,yegE,ECB_01973,b2067
YP_003045168.1,alkA,ECB_01974,b2068
YP_003045169.1,yegD,ECB_01975,b2069
YP_003045170.1,yegI,ECB_01976,b2070
YP_003045171.1,yegK,ECB_01977,b2072
YP_003045172.1,yegL,ECB_01978,b2073
YP_003045173.1,yegM,ECB_01979,b2074
YP_003045174.1,yegN,ECB_01980,b2075
YP_003045175.1,yegO,ECB_01981,b2076
YP_003045176.1,yegB,ECB_01982,b2077
YP_003045177.1,baeS,ECB_01983,b2078
YP_003045178.1,baeR,ECB_01984,b2079
YP_003045179.1,yegP,ECB_01985,b2080
YP_003045180.1,yegQ,ECB_01986,b2081
